2ndFlrSF,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,GarageArea,TotalBsmtSF,YearBuilt
729.0,GLQ,419,310,440,729,1999
0.0,LwQ,170,252,288,1092,1962
0.0,Unf,0,1125,430,1125,2006
1523.0,GLQ,1470,203,594,1673,1990
728.0,Unf,0,728,390,728,2005
0.0,ALQ,938,0,540,938,1969
351.0,Unf,0,732,264,732,1939
0.0,BLQ,570,510,288,1080,1958
0.0,GLQ,300,899,530,1199,1993
0.0,,0,1362,435,1362,1979
0.0,GLQ,490,30,0,520,1935
,ALQ,120,958,440,1078,1976
0.0,LwQ,116,556,0,672,1930
688.0,BLQ,512,148,453,660,1966
,Rec,567,413,750,1008,1958
941.0,Rec,445,479,487,924,1966
1032.0,GLQ,695,297,390,992,2000
0.0,Rec,405,658,624,1063,1959
0.0,GLQ,1005,262,471,1267,2001
0.0,Rec,570,891,440,1461,1968
0.0,Unf,0,1304,530,1304,1970
,BLQ,695,519,318,1214,1967
0.0,Unf,0,1907,766,1907,1988
848.0,GLQ,668,336,660,1004,1999
836.0,GLQ,821,107,470,928,1997
0.0,ALQ,432,432,0,864,1971
0.0,GLQ,1300,434,660,1734,2005
,Rec,507,403,720,910,1952
0.0,GLQ,679,811,577,1490,1999
0.0,Rec,1332,396,504,1728,1963
739.0,Unf,0,970,380,970,2004
0.0,BLQ,209,506,180,715,1931
1151.0,Unf,0,884,434,884,2001
0.0,GLQ,680,400,0,1080,2004
448.0,Unf,0,896,240,896,1936
0.0,BLQ,716,253,440,969,1975
0.0,,1400,310,866,1710,2007
896.0,Rec,416,409,495,825,1971
0.0,BLQ,429,93,564,1602,1960
0.0,Unf,0,1200,312,1200,1923
524.0,Unf,0,572,0,572,1924
0.0,None,0,0,625,0,1950
1194.0,,0,774,680,774,2009
956.0,GLQ,222,769,678,991,2004
1070.0,GLQ,57,1335,576,1392,2005
0.0,BLQ,660,572,516,1232,1984
1096.0,GLQ,1016,556,726,1572,2003
0.0,,1201,340,532,1541,2005
0.0,Unf,0,882,0,882,1956
467.0,LwQ,370,779,216,1149,1926
547.0,ALQ,351,112,0,644,1940
0.0,LwQ,379,470,303,1617,1955
551.0,GLQ,1288,294,789,1582,2007
880.0,Unf,0,840,440,840,2004
0.0,Unf,0,1686,511,1686,1981
0.0,Rec,360,360,660,720,1941
0.0,BLQ,639,441,528,1080,1960
703.0,GLQ,495,354,504,1064,1987
0.0,ALQ,288,700,504,1362,1961
0.0,ALQ,1398,0,616,1606,1986
0.0,ALQ,477,725,576,1202,1950
896.0,GLQ,831,320,521,1151,1988
668.0,ALQ,57,554,451,1052,1958
0.0,GLQ,1904,312,1166,2216,2008
0.0,Unf,0,968,480,968,1923
756.0,GLQ,436,320,440,756,2000
901.0,LwQ,352,441,216,793,1920
0.0,,0,0,252,0,1957
720.0,Unf,0,1362,484,1362,2003
316.0,Unf,0,504,576,504,1908
1518.0,Unf,0,1107,840,1107,1892
0.0,GLQ,611,577,497,1188,1990
704.0,Unf,0,660,180,660,1916
0.0,GLQ,1086,0,528,1086,1979
0.0,GLQ,1153,440,682,1593,2001
1178.0,Rec,297,556,440,853,1932
754.0,ALQ,626,99,484,725,1972
0.0,GLQ,560,871,666,1431,1999
739.0,Unf,0,970,380,970,2004
0.0,ALQ,390,474,352,864,1972
,ALQ,566,289,440,855,1976
0.0,,1126,600,786,1726,2007
1360.0,,1036,140,795,1360,1918
929.0,Unf,0,755,0,755,1912
0.0,GLQ,1088,625,856,1713,2004
0.0,Unf,0,1121,440,1121,2003
0.0,ALQ,641,276,473,1196,1977
445.0,LwQ,617,0,398,617,1924
0.0,GLQ,662,186,420,848,2004
564.0,LwQ,312,408,240,720,1947
0.0,Unf,0,1424,500,1424,1990
0.0,Unf,0,1140,349,1140,1962
0.0,ALQ,419,375,312,1100,1960
,GLQ,1065,92,454,1157,1988
0.0,Rec,787,305,504,1092,1964
0.0,Rec,468,396,0,864,1925
0.0,GLQ,36,1176,460,1212,2009
920.0,GLQ,822,78,644,900,2009
0.0,ALQ,716,274,576,990,1995
703.0,GLQ,378,311,299,689,1977
0.0,BLQ,360,710,447,1070,1957
0.0,GLQ,946,490,484,1436,2004
518.0,Unf,0,686,210,686,1925
817.0,BLQ,341,457,431,798,1939
0.0,GLQ,16,1232,438,1248,2005
0.0,Unf,0,1498,675,1498,2006
1257.0,Unf,0,1010,390,1010,2002
741.0,ALQ,550,163,434,713,1975
0.0,ALQ,524,160,576,864,1971
0.0,GLQ,56,2336,968,2392,2003
672.0,Unf,0,630,280,630,1971
1306.0,GLQ,565,638,721,1203,1995
504.0,Rec,321,162,280,483,1970
0.0,ALQ,842,70,336,912,1967
0.0,GLQ,16,1357,430,1373,2005
0.0,Unf,0,1194,312,1194,1959
1304.0,,689,773,810,1462,1995
504.0,Unf,0,483,288,483,1972
0.0,LwQ,182,0,308,894,1976
1100.0,GLQ,625,235,440,860,2002
,ALQ,358,125,264,483,1971
0.0,GLQ,24,1390,494,1414,2004
730.0,BLQ,402,594,457,996,1993
0.0,Unf,0,1694,818,1694,2007
,LwQ,94,641,220,735,1945
0.0,GLQ,1078,488,750,1566,2008
,ALQ,329,357,0,686,1945
551.0,Unf,0,540,352,540,1900
591.0,,0,626,288,626,1980
888.0,GLQ,695,253,463,948,1994
,GLQ,929,916,604,1845,1988
1020.0,Unf,0,1020,440,1020,1910
0.0,Unf,0,1367,451,1367,1954
828.0,,0,840,500,840,2003
700.0,Rec,697,747,389,1444,1958
0.0,Unf,0,728,0,728,1940
0.0,,1573,0,538,1573,2006
842.0,Unf,0,798,520,798,2004
0.0,LwQ,270,452,309,1302,1964
0.0,Rec,922,392,294,1314,1957
1286.0,Unf,0,975,429,975,1999
864.0,Rec,503,361,673,864,2003
0.0,GLQ,1334,270,660,1604,2006
829.0,GLQ,361,602,564,963,2001
0.0,None,0,0,308,0,1956
0.0,Rec,672,0,884,1362,1962
1092.0,Unf,0,1482,868,1482,2007
0.0,ALQ,506,0,492,506,1977
0.0,LwQ,234,0,484,926,1929
0.0,Unf,0,680,504,680,1925
0.0,,588,606,576,1422,1981
709.0,GLQ,714,88,413,802,1997
720.0,,378,342,240,720,1939
0.0,ALQ,403,212,924,740,1940
0.0,BLQ,751,392,504,1143,1976
844.0,Unf,0,1095,1053,1095,2006
0.0,LwQ,226,96,439,1385,1954
1106.0,GLQ,524,628,671,1152,1999
0.0,Rec,620,0,338,1240,1958
0.0,ALQ,546,270,264,816,1982
596.0,Unf,0,952,672,952,1925
0.0,Unf,0,1560,573,1560,2003
0.0,LwQ,120,744,400,864,1951
0.0,Unf,0,2121,732,2121,2006
866.0,BLQ,392,768,505,1160,1977
807.0,GLQ,421,386,575,807,1989
0.0,GLQ,905,357,572,1262,2006
0.0,GLQ,904,410,626,1314,2007
0.0,Unf,0,1468,898,1468,2008
0.0,GLQ,430,1145,529,1575,1992
625.0,Unf,0,625,528,625,2006
649.0,Rec,600,312,440,912,1962
,BLQ,614,244,0,858,1971
0.0,BLQ,450,432,280,882,1967
698.0,Unf,0,698,384,698,1915
840.0,Unf,0,1079,685,1079,2006
780.0,,210,570,0,780,1912
568.0,LwQ,292,476,281,768,1949
795.0,ALQ,795,0,539,795,1977
0.0,GLQ,1285,131,418,1416,1953
0.0,GLQ,819,184,588,1003,1984
648.0,BLQ,420,490,282,910,1950
975.0,,649,326,576,975,1997
702.0,ALQ,384,143,539,702,1968
0.0,Unf,0,1092,300,1092,1950
0.0,BLQ,841,324,375,1165,1953
1242.0,,281,747,683,1028,1998
0.0,Unf,0,1541,843,1541,2001
0.0,ALQ,894,0,552,894,1972
1818.0,Unf,0,1470,870,1470,1880
0.0,GLQ,1464,536,888,2000,2004
1121.0,ALQ,700,0,746,700,1990
371.0,Unf,0,319,0,319,1920
0.0,BLQ,262,599,539,861,1940
0.0,,1274,622,708,1896,2003
804.0,ALQ,518,179,420,697,1993
0.0,ALQ,680,292,240,972,1948
325.0,Rec,507,286,410,793,1939
0.0,ALQ,1236,80,513,2136,1965
809.0,LwQ,16,712,546,728,1925
716.0,,425,291,432,716,2004
,GLQ,692,153,484,845,1980
871.0,Unf,0,1088,1025,1088,2006
1274.0,GLQ,987,360,656,1347,1993
0.0,GLQ,1036,336,588,1372,1980
1347.0,Unf,0,1249,840,1249,2006
1332.0,GLQ,970,166,872,1136,2004
1177.0,LwQ,28,0,576,1502,1986
0.0,ALQ,256,906,220,1162,1955
1080.0,Unf,0,710,564,710,1967
0.0,BLQ,116,604,360,720,1941
0.0,GLQ,1619,100,473,1719,1993
0.0,Rec,565,818,292,1383,1960
689.0,Unf,0,844,441,844,1916
596.0,Unf,0,596,189,596,1920
,GLQ,40,1424,352,1728,1964
0.0,Rec,846,210,308,1056,1958
0.0,GLQ,1124,1603,880,3206,2003
0.0,GLQ,720,638,484,1358,2004
,GLQ,828,115,472,943,1998
167.0,,1249,103,529,1499,1965
0.0,GLQ,1249,673,676,1922,2005
0.0,GLQ,810,726,532,1536,2002
0.0,ALQ,213,995,440,1208,1984
0.0,Rec,585,630,297,1215,1958
915.0,Unf,0,967,431,967,2002
,Unf,0,721,294,721,1950
0.0,None,0,0,400,0,1949
0.0,GLQ,28,1656,564,1684,2005
576.0,Rec,129,175,336,536,1976
605.0,Unf,0,972,312,972,1939
0.0,BLQ,498,460,301,958,1960
0.0,BLQ,1270,208,498,1478,1960
862.0,GLQ,573,191,474,764,2003
880.0,GLQ,1410,438,706,1848,2005
0.0,Unf,0,1869,617,1869,2007
0.0,GLQ,1082,371,445,1453,1986
495.0,LwQ,236,0,200,616,1941
0.0,Unf,0,624,484,624,1928
403.0,LwQ,388,552,240,940,1940
0.0,ALQ,334,322,521,1200,1995
0.0,GLQ,560,598,400,1158,1992
0.0,ALQ,874,268,528,1142,1976
0.0,BLQ,300,468,288,1062,1958
838.0,GLQ,956,130,592,1086,1998
,GLQ,773,115,470,888,1978
517.0,Rec,399,484,240,883,1940
1427.0,,0,0,672,0,2003
504.0,ALQ,162,321,264,483,1972
784.0,GLQ,712,84,566,796,1976
672.0,Rec,456,216,468,672,1920
0.0,BLQ,609,785,514,1394,1963
0.0,GLQ,371,728,296,1099,1962
0.0,LwQ,540,728,244,1268,1954
0.0,ALQ,72,733,576,1063,1959
711.0,Unf,0,953,460,953,2000
468.0,None,0,0,680,0,1959
0.0,ALQ,623,0,264,744,1984
0.0,BLQ,428,0,270,608,1953
1081.0,,0,847,434,847,2003
0.0,BLQ,350,333,0,683,1922
0.0,GLQ,298,572,576,870,1996
886.0,Unf,0,1580,610,1580,2004
0.0,GLQ,1445,411,834,1856,2010
793.0,Unf,0,982,463,982,2000
665.0,LwQ,218,808,308,1026,1924
0.0,Unf,0,1293,572,1293,2006
858.0,Unf,0,939,639,939,2006
0.0,Unf,0,784,360,784,1928
874.0,GLQ,985,595,501,1580,1992
0.0,GLQ,24,1232,430,1256,2004
526.0,Unf,0,658,0,658,1910
0.0,ALQ,631,410,352,1041,1976
0.0,Unf,0,1468,577,1468,1999
590.0,GLQ,1280,402,846,1682,2007
406.0,Rec,241,229,384,861,1900
1157.0,ALQ,690,114,560,804,2001
0.0,None,0,0,294,0,1959
0.0,Rec,266,522,0,788,1941
299.0,,0,735,240,735,1940
,BLQ,739,405,596,1144,1956
0.0,Rec,777,117,600,894,1972
936.0,ALQ,540,324,264,864,1962
0.0,Unf,0,961,338,961,1920
438.0,GLQ,812,280,438,1092,2006
0.0,GLQ,786,474,500,1260,1996
0.0,GLQ,24,1286,400,1310,2005
0.0,Unf,0,672,240,672,1940
,Unf,0,1141,420,1141,1998
766.0,Unf,0,806,373,806,1995
0.0,BLQ,1116,165,490,1281,1976
0.0,Unf,0,1064,240,1064,1936
840.0,Unf,0,840,308,840,1915
1101.0,Unf,0,1063,947,1063,2006
1028.0,GLQ,789,245,836,1034,2007
0.0,Unf,0,1276,350,1276,1958
0.0,Rec,1056,0,572,1056,1955
0.0,GLQ,578,892,484,1470,2009
,Unf,0,1008,360,1008,1927
1017.0,BLQ,50,499,678,1080,1993
0.0,GLQ,24,1316,396,1340,2007
728.0,ALQ,209,463,440,672,1978
1254.0,BLQ,1128,242,864,1370,1918
378.0,ALQ,312,444,240,756,1940
0.0,BLQ,775,281,304,1056,1968
0.0,GLQ,1309,35,784,1344,1997
0.0,ALQ,1246,356,529,1602,1977
0.0,,0,988,520,988,1954
,GLQ,986,484,696,1470,1998
0.0,LwQ,616,580,297,1196,1956
682.0,Unf,0,651,240,651,1946
0.0,GLQ,1518,0,569,1518,1989
0.0,Rec,288,619,352,907,1957
,GLQ,664,544,628,1208,2007
0.0,GLQ,1005,387,576,1392,1988
504.0,ALQ,387,96,264,483,1971
110.0,,0,901,0,901,1920
600.0,ALQ,471,294,440,765,1971
678.0,Unf,0,926,470,926,1997
0.0,ALQ,495,135,0,630,1972
834.0,GLQ,385,70,550,799,1996
,Unf,0,648,440,648,1920
0.0,Unf,0,884,180,884,1926
0.0,LwQ,365,75,352,440,1913
512.0,Unf,0,684,528,684,1920
0.0,GLQ,1767,788,672,3094,2008
0.0,ALQ,133,1307,0,1440,1955
445.0,Unf,0,1078,360,1078,1930
0.0,Unf,0,1258,648,1258,2006
975.0,GLQ,642,273,493,915,1994
0.0,Unf,0,1436,480,1436,1956
0.0,,247,557,578,1517,1966
930.0,Unf,0,930,431,930,1998
596.0,Unf,0,780,198,780,1937
504.0,ALQ,331,318,308,649,1948
0.0,Unf,0,813,270,813,1930
0.0,ALQ,655,878,576,1533,1975
868.0,ALQ,742,130,422,872,1996
,Unf,0,768,676,768,2008
0.0,ALQ,1606,122,560,1728,1976
0.0,ALQ,916,326,528,1242,1973
720.0,Unf,0,624,513,624,1916
0.0,BLQ,1116,248,529,1364,1954
833.0,Unf,0,588,228,588,1925
224.0,LwQ,185,524,352,709,1950
1103.0,GLQ,544,288,552,832,2009
560.0,ALQ,350,0,576,560,1936
0.0,Rec,553,0,360,864,1965
811.0,LwQ,326,389,240,715,1934
0.0,Rec,616,424,0,1040,1978
0.0,Unf,0,1375,398,1375,2004
0.0,GLQ,778,499,526,1277,1970
,LwQ,386,342,312,728,1942
0.0,Unf,0,1626,866,1626,2006
878.0,GLQ,426,406,506,832,1993
0.0,GLQ,368,0,528,1488,1985
808.0,Unf,0,808,534,808,1977
0.0,,459,88,525,547,2005
0.0,,1350,626,908,1976,2006
0.0,GLQ,1196,298,499,1494,2000
0.0,GLQ,630,340,624,970,1963
0.0,GLQ,994,484,508,1478,1997
574.0,Unf,0,2153,694,2153,2006
0.0,GLQ,1288,417,826,1705,2007
0.0,Rec,168,739,672,907,1937
0.0,GLQ,1261,572,772,1833,2004
0.0,GLQ,1567,225,874,1792,2003
,ALQ,299,611,164,910,1915
,GLQ,897,319,402,1216,1998
0.0,ALQ,588,411,264,999,1962
0.0,ALQ,607,506,264,1113,1950
0.0,ALQ,836,237,515,1073,1965
0.0,ALQ,998,486,487,1484,1971
648.0,BLQ,664,290,520,954,1900
0.0,GLQ,515,115,286,630,1970
688.0,Unf,0,264,336,264,1976
620.0,BLQ,403,238,240,806,1941
728.0,Unf,0,728,429,728,2006
0.0,BLQ,374,363,308,1269,1960
0.0,Unf,0,190,273,190,1938
0.0,Rec,495,225,0,720,1920
0.0,GLQ,1231,1969,546,3200,1992
687.0,Rec,329,697,240,1026,1925
0.0,ALQ,450,414,288,864,1967
0.0,BLQ,111,522,297,912,1958
546.0,BLQ,356,316,264,672,1973
902.0,GLQ,400,466,603,866,2005
0.0,ALQ,698,420,461,1214,1965
0.0,ALQ,1247,254,484,1501,1959
,ALQ,257,103,440,855,1974
1000.0,Unf,0,960,400,960,1952
846.0,,380,397,471,777,1993
0.0,GLQ,27,1191,676,1218,2009
689.0,Rec,141,548,360,689,1928
0.0,ALQ,991,50,270,1041,1959
0.0,BLQ,650,178,288,1008,1951
0.0,Unf,0,1368,474,1368,2005
0.0,BLQ,521,169,624,864,1958
,ALQ,336,748,484,1084,1983
0.0,Unf,0,768,200,768,1926
0.0,GLQ,1436,570,900,2006,2009
741.0,Unf,0,689,583,689,1972
1067.0,Unf,0,1264,889,1264,1996
914.0,GLQ,706,88,546,794,1998
804.0,Unf,0,1276,282,1276,1926
600.0,None,0,0,0,0,1900
0.0,Rec,777,467,336,1244,1957
,ALQ,399,605,420,1004,1947
1538.0,GLQ,2260,878,884,3138,2007
1015.0,,719,660,834,1379,1996
0.0,Unf,0,1257,453,1257,2005
0.0,Rec,377,551,252,928,1956
1237.0,GLQ,1330,122,858,1452,2008
0.0,,348,180,0,528,1920
0.0,Rec,1219,816,484,2035,1957
0.0,GLQ,783,678,600,1461,1988
611.0,Unf,0,611,502,611,1920
0.0,None,0,0,392,0,1955
0.0,None,0,0,0,0,1946
707.0,Unf,0,707,403,707,2004
527.0,GLQ,969,148,0,1117,1910
844.0,Unf,0,880,527,880,1998
0.0,BLQ,600,264,576,864,1972
0.0,BLQ,673,378,336,1051,1968
0.0,GLQ,1358,223,670,1581,2001
0.0,GLQ,1260,578,765,1838,2006
1288.0,Unf,0,969,648,969,2000
0.0,LwQ,144,379,583,1650,1998
0.0,GLQ,584,0,367,723,1998
,GLQ,554,100,426,654,2006
806.0,GLQ,1002,0,786,1204,1988
720.0,Rec,300,765,440,1065,1923
0.0,ALQ,619,149,624,768,1970
0.0,LwQ,180,0,720,825,1955
1182.0,Unf,0,912,615,912,2003
0.0,ALQ,559,510,440,1069,1977
0.0,Rec,308,620,288,928,1957
0.0,Unf,0,1709,908,1709,2006
0.0,None,0,0,520,0,1949
1040.0,GLQ,866,132,871,998,2003
,Unf,0,993,280,993,1922
0.0,Rec,895,197,299,1092,1957
439.0,Rec,637,0,570,637,1920
717.0,GLQ,604,125,406,729,1996
0.0,Unf,0,1374,420,1374,2003
0.0,,1302,90,528,1392,1957
0.0,ALQ,1071,195,418,1389,1974
0.0,BLQ,290,706,0,996,1940
511.0,Unf,0,1163,396,1163,1918
1129.0,GLQ,728,367,590,1095,1992
806.0,Unf,0,806,216,806,1915
1370.0,Unf,0,1122,656,1122,2005
0.0,GLQ,2,1515,532,1517,2004
636.0,GLQ,1441,55,612,1496,1983
0.0,GLQ,943,0,600,943,1979
0.0,LwQ,231,1497,576,1728,1965
,,414,450,288,864,1959
846.0,Unf,0,846,650,846,2009
656.0,,0,384,400,384,2000
533.0,ALQ,349,23,288,372,1971
384.0,Rec,442,390,336,832,1947
600.0,Unf,0,861,216,861,1928
0.0,LwQ,328,285,564,1164,1966
689.0,Unf,0,689,540,689,2007
745.0,Unf,0,1050,352,1050,1954
0.0,BLQ,594,331,572,1144,1960
0.0,,0,2042,1390,2042,2008
0.0,GLQ,816,0,0,816,1990
,Unf,0,1237,880,1237,1893
584.0,,0,884,240,884,1935
0.0,GLQ,1460,408,880,1868,2005
0.0,Rec,210,0,275,816,1918
0.0,ALQ,672,168,528,840,1982
0.0,GLQ,1324,113,452,1437,1968
0.0,Unf,0,742,308,742,1930
812.0,GLQ,490,280,520,770,2004
568.0,GLQ,1338,384,842,1722,2008
0.0,,816,0,816,816,1982
0.0,GLQ,685,163,420,848,2003
0.0,Unf,0,924,280,924,1975
0.0,GLQ,1422,392,758,1814,2005
684.0,Unf,0,684,216,684,1910
0.0,Unf,0,1258,648,1258,2006
0.0,ALQ,1283,0,621,1430,1977
840.0,,81,23,452,716,1980
846.0,GLQ,546,512,736,1058,2005
595.0,,0,780,544,780,1937
988.0,GLQ,789,119,506,908,1992
600.0,Unf,0,600,480,600,2004
0.0,GLQ,922,572,530,1494,2002
800.0,BLQ,454,314,486,768,1965
0.0,GLQ,732,308,576,1040,1996
896.0,GLQ,603,293,230,896,1948
1254.0,BLQ,428,537,380,965,1934
0.0,Rec,903,126,261,1029,1961
677.0,GLQ,904,536,736,1440,2000
0.0,ALQ,605,427,564,1032,1978
573.0,GLQ,990,309,531,1299,2001
0.0,ALQ,206,914,0,1120,2007
0.0,LwQ,150,0,0,630,1972
0.0,GLQ,763,173,480,936,1963
702.0,GLQ,457,326,393,783,2002
0.0,Unf,0,832,528,832,1954
0.0,,48,1774,774,1822,2007
780.0,GLQ,871,611,749,1482,2003
,BLQ,41,823,0,864,1914
1066.0,ALQ,956,384,624,1522,1974
0.0,BLQ,560,420,484,980,1977
756.0,GLQ,420,336,440,756,2000
778.0,Rec,247,485,484,732,1972
0.0,Unf,0,1116,440,1116,1962
0.0,Unf,0,978,286,978,1960
0.0,BLQ,674,350,364,1156,1955
1040.0,Rec,650,390,504,1040,1969
0.0,GLQ,624,288,520,1248,1964
661.0,Unf,0,636,240,636,1880
0.0,GLQ,24,1530,627,1554,2006
0.0,ALQ,822,564,544,1386,1977
0.0,BLQ,480,108,260,1056,1954
0.0,GLQ,1056,0,576,1056,1980
1440.0,LwQ,256,1184,0,1440,1914
0.0,Unf,0,264,0,264,1936
576.0,Unf,0,811,256,811,1954
0.0,Unf,0,796,0,796,1910
0.0,GLQ,1154,366,648,1520,2006
,GLQ,1218,300,588,1518,2003
872.0,,738,319,650,1057,2001
704.0,,1410,542,538,1952,1972
840.0,Rec,493,0,462,780,1969
0.0,GLQ,1121,645,478,1766,2009
0.0,ALQ,282,664,576,981,1971
0.0,None,0,0,420,0,1950
0.0,Rec,500,594,495,1094,1953
788.0,Unf,0,756,442,756,1966
0.0,BLQ,131,0,0,630,1970
843.0,Unf,0,813,562,813,2007
755.0,Unf,0,755,296,755,1940
807.0,Unf,0,880,512,880,1996
713.0,,0,756,216,756,1906
0.0,GLQ,1696,413,839,2109,1995
,Unf,0,525,264,525,1971
0.0,ALQ,806,247,312,1053,1959
651.0,Unf,0,776,270,776,1931
546.0,Unf,0,912,330,912,1948
0.0,BLQ,637,849,480,1486,1964
793.0,Unf,0,793,550,793,1976
762.0,GLQ,1361,88,711,1629,1994
0.0,Unf,0,1392,576,1392,1968
0.0,BLQ,920,38,588,1138,1972
0.0,,1721,356,1134,2077,2005
482.0,Unf,0,1406,504,1406,2000
915.0,LwQ,187,111,596,1021,1965
0.0,GLQ,1138,270,575,1408,1994
0.0,Rec,988,200,576,1188,1956
0.0,Unf,0,700,252,700,1922
,GLQ,193,545,540,738,2005
672.0,BLQ,551,121,300,672,1925
,ALQ,767,441,546,1208,1977
,GLQ,1186,291,416,1477,1957
0.0,Rec,892,244,384,1136,1965
586.0,ALQ,311,544,440,855,1978
679.0,Unf,0,1095,779,1095,1900
0.0,Unf,0,768,240,768,1924
0.0,Unf,0,2046,834,2046,2008
0.0,Rec,827,161,572,988,1961
,BLQ,543,261,264,923,1980
672.0,Rec,182,611,281,793,1932
0.0,GLQ,1003,288,431,1291,1996
0.0,GLQ,1059,567,702,1626,2002
644.0,Unf,0,1195,486,1195,1998
900.0,GLQ,828,180,577,1190,1984
887.0,Unf,0,874,578,874,2007
551.0,GLQ,239,312,480,551,2004
0.0,,945,474,567,1419,2007
0.0,ALQ,20,1342,460,1362,2005
0.0,GLQ,697,151,420,848,2004
1872.0,GLQ,1455,989,832,2444,1994
1281.0,GLQ,965,245,628,1210,1989
0.0,Unf,0,1073,326,1073,1921
472.0,Unf,0,927,576,927,1936
